"","mass","int","logint"
"558",290.952270507812,11197.6337890625,9.32345776612908
"559",292.283905029297,3287.19970703125,8.09779132844509
"560",292.932983398438,2391.34057617188,7.77960939820621
"561",293.174835205078,12124.0908203125,9.4029497291025
"562",293.195465087891,6533.5537109375,8.78470628724756
"563",293.843231201172,1857.96704101562,7.52723818025823
"564",293.903656005859,2160.78662109375,7.67822761081436
"565",294.000030517578,2170.05883789062,7.68250956040223
"566",294.065002441406,2589.48388671875,7.85921386329921
"567",294.578277587891,2322.32495117188,7.75032409698498
"568",295.191986083984,2004.90197753906,7.60335044953761
"569",295.334228515625,1759.85144042969,7.4729846756228
"570",297.2421875,3463.052734375,8.1499057722319
"571",299.294555664062,2868.36010742188,7.96149575430533
"572",301.140747070312,19953.943359375,9.90118206490949
"573",301.395050048828,1836.24938964844,7.5154803950978
"574",302.145111083984,4932.63623046875,8.50362885646494
"575",302.709991455078,1997.46997070312,7.59963664408719
"576",303.984985351562,2512.2822265625,7.82894687261572
"577",306.943054199219,3881.27709960938,8.2639195278434
"578",308.940521240234,3615.36547851562,8.19294823004012
"579",309.227355957031,6928.966796875,8.8434659897087
"580",312.359802246094,2233.29296875,7.71123244285359
"581",313.310424804688,7905.69384765625,8.97533851905627
"582",315.252746582031,5853.8505859375,8.67485494351263
"583",317.115936279297,2398.07250976562,7.78242057273066
"584",324.217163085938,10197.525390625,9.22990036107584
"585",325.123504638672,1927.24694824219,7.5638478118602
"586",325.310241699219,2226.97412109375,7.70839904666616
"587",327.008056640625,172827.984375,12.0600520688547
"588",327.265380859375,2526.82934570312,7.83472057273862
"589",327.307800292969,3558.5693359375,8.17711387114624
"590",327.601776123047,3190.79858398438,8.06802650425612
"591",328.011352539062,17216.44140625,9.75362010193638
"592",328.408203125,3820.2333984375,8.24806679880156
"593",328.570190429688,2109.59448242188,7.6542510195739
"594",328.745269775391,2126.2734375,7.66212616657701
"595",328.9755859375,2197.74194335938,7.69518572286602
"596",329.005096435547,157562.515625,11.9675775830973
"597",329.264526367188,2606.6533203125,7.86582242477342
"598",329.603393554688,3335.95751953125,8.1125150294441
"599",330.008605957031,13350.3515625,9.49929799775132
"600",330.0185546875,4389.3564453125,8.38693789972223
"601",331.002136230469,52790.5703125,10.8740878611785
"602",331.883605957031,1860.81274414062,7.52876863048376
"603",332.005035400391,3071.20654296875,8.02982577411176
"604",332.015594482422,6609.076171875,8.79619916088066
"605",332.999359130859,3738.76635742188,8.22651098503907
"606",339.033660888672,1836.56909179688,7.5156544860042
"607",340.258575439453,4184.4326171875,8.33912639838892
"608",343.284057617188,2429.93090820312,7.79561810309215
"609",344.0341796875,3643.109375,8.20059281989029
"610",344.689117431641,1967.94079589844,7.58474299377474
"611",348.990295410156,9482.888671875,9.15724426105683
"612",350.986968994141,10244.328125,9.23447947775138
"613",351.238067626953,2698.17504882812,7.9003309156223
"614",351.913543701172,1864.76208496094,7.53088875555482
"615",352.339294433594,21551.369140625,9.9781946267214
"616",352.480743408203,1775.65637207031,7.48192542063699
"617",353.342834472656,6879.283203125,8.8362697399074
"618",354.339660644531,1869.89660644531,7.53363841764909
"619",367.268280029297,2115.27294921875,7.65693913715776
"620",371.316131591797,3712.63623046875,8.21949747751346
"621",372.065795898438,12482.2177734375,9.43206033234047
"622",374.06298828125,13768.7109375,9.53015397350623
"623",376.060211181641,5090.5166015625,8.53513459782521
"624",385.317810058594,3413.44848632812,8.13547834558528
"625",389.19580078125,2712.26000976562,7.90553751827207
"626",389.244171142578,1997.33312988281,7.59956813466786
